Country,Development_Index,DI_Rank,HDI rank,Rank_Diff
Luxembourg,1.2258358577797466,1,25.0,-24.0
Switzerland,1.0732885175335938,2,2.0,0.0
Norway,1.0712812320129785,3,2.0,1.0
Qatar,0.9930129770445757,4,43.0,-39.0
Ireland,0.9399287535467244,5,11.0,-6.0
Singapore,0.930921932506449,6,13.0,-7.0
Denmark,0.9258377950196894,7,4.0,3.0
Iceland,0.9204776805494371,8,1.0,7.0
United States,0.9141949272788263,9,17.0,-8.0
Sweden,0.9071798177983796,10,5.0,5.0
Australia,0.8873779879142126,11,7.0,4.0
Andorra,0.8727911938505502,12,32.0,-20.0
Japan,0.8662875033731763,13,23.0,-10.0
Austria,0.8647533044146066,14,22.0,-8.0
United Arab Emirates,0.8639010082201853,15,15.0,0.0
Canada,0.8576260251882093,16,16.0,0.0
Germany,0.8477257565241082,17,5.0,12.0
Belgium,0.8465138730570605,18,10.0,8.0
Finland,0.8443002260979239,19,12.0,7.0
United Kingdom,0.8403533236573417,20,13.0,7.0
Kuwait,0.8292651907916374,21,52.0,-31.0
France,0.8247674786685648,22,26.0,-4.0
Italy,0.8087047060009964,23,29.0,-6.0
Spain,0.8063214821251287,24,28.0,-4.0
Israel,0.7954479391285644,25,27.0,-2.0
New Zealand,0.7931505036845483,26,17.0,9.0
Cyprus,0.7560148055517838,27,32.0,-5.0
Malta,0.7252903323650303,28,24.0,4.0
Bahrain,0.7185987072032746,29,38.0,-9.0
Greece,0.7133509180340446,30,34.0,-4.0
Saudi Arabia,0.7111738199295691,31,37.0,-6.0
Slovenia,0.7100033337042899,32,21.0,11.0
Portugal,0.7087712762777417,33,40.0,-7.0
Uruguay,0.6944012656285611,34,48.0,-14.0
Oman,0.6923157839349134,35,50.0,-15.0
Czechia,0.6796453052584289,36,29.0,7.0
Barbados,0.675131924832665,37,69.0,-32.0
Estonia,0.6729094675241222,38,36.0,2.0
Antigua and Barbuda,0.6698891583728089,39,53.0,-14.0
Chile,0.6642833184265651,40,45.0,-5.0
Mexico,0.6610609805471186,41,81.0,-40.0
Croatia,0.6514555283201363,42,41.0,1.0
Lithuania,0.6497937233396953,43,39.0,4.0
Montenegro,0.6480601515225328,44,48.0,-4.0
Trinidad and Tobago,0.6471808982175442,45,72.0,-27.0
Seychelles,0.6457730776497782,46,54.0,-8.0
Panama,0.6390413084553555,47,59.0,-12.0
Hungary,0.6370744315860656,48,46.0,2.0
Costa Rica,0.6359454116386404,49,62.0,-13.0
Latvia,0.6352379128986051,50,41.0,9.0
Poland,0.634376579126532,51,35.0,16.0
Brazil,0.6343598538294764,52,84.0,-32.0
Argentina,0.6319213400133821,53,47.0,6.0
Colombia,0.6268892250738631,54,83.0,-29.0
Maldives,0.6245743246271933,55,93.0,-38.0
Malaysia,0.6232588280345815,56,67.0,-11.0
Ecuador,0.6226161791863302,57,88.0,-31.0
Cuba,0.6191073324461511,58,97.0,-39.0
Palau,0.6162753963790878,59,84.0,-25.0
Mauritius,0.6159464068167341,60,73.0,-13.0
Romania,0.6147653212690188,61,55.0,6.0
Serbia,0.61282340295255,62,62.0,0.0
Azerbaijan,0.6119532490647586,63,81.0,-18.0
Lebanon,0.6105125378203577,64,102.0,-38.0
Peru,0.6104512250273475,65,79.0,-14.0
Paraguay,0.6084021826072913,66,99.0,-33.0
Albania,0.6081625464422928,67,71.0,-4.0
Libya,0.6051370572105824,68,115.0,-47.0
Grenada,0.604323509754725,69,80.0,-11.0
Bulgaria,0.6034624220519471,70,55.0,15.0
North Macedonia,0.603395702545473,71,68.0,3.0
Dominican Republic,0.6029344661646953,72,89.0,-17.0
Thailand,0.6025442566298522,73,76.0,-3.0
Kazakhstan,0.599843846011947,74,60.0,14.0
Bosnia and Herzegovina,0.5993168370437927,75,74.0,1.0
China,0.5976137647196158,76,78.0,-2.0
Dominica,0.5942609331753808,77,98.0,-21.0
Jordan,0.5936845972484761,78,100.0,-22.0
Armenia,0.5922927587799679,79,69.0,10.0
Georgia,0.5915449729833996,80,57.0,23.0
Belarus,0.5914193160064655,81,65.0,16.0
Sri Lanka,0.5892807154988617,82,89.0,-7.0
Suriname,0.5860825544980192,83,114.0,-31.0
Belize,0.583994915363915,84,115.0,-31.0
Uzbekistan,0.5837403412420215,85,107.0,-22.0
Tonga,0.5802192139630752,86,92.0,-6.0
Algeria,0.5786804065431815,87,96.0,-9.0
Jamaica,0.5775075371598033,88,117.0,-29.0
Tunisia,0.5764311609197613,89,105.0,-16.0
Philippines,0.5763894627701556,90,117.0,-27.0
El Salvador,0.5759704291514717,91,132.0,-41.0
Samoa,0.5753493214108125,92,122.0,-30.0
Indonesia,0.5730428195007337,93,113.0,-20.0
South Africa,0.5720193756597503,94,106.0,-12.0
Gabon,0.5719500439235989,95,108.0,-13.0
Ukraine,0.5717830008025642,96,87.0,9.0
Eritrea,0.5697957181716561,97,178.0,-81.0
Turkmenistan,0.5697549929553111,98,95.0,3.0
Honduras,0.5651679079858658,99,139.0,-40.0
South Sudan,0.5626320205080221,100,193.0,-93.0
Guyana,0.5619149026007398,101,89.0,12.0
Iraq,0.5579878214213784,102,126.0,-24.0
Mongolia,0.5578532172052671,103,104.0,-1.0
Guatemala,0.557746550093401,104,137.0,-33.0
Vanuatu,0.5564140767656788,105,146.0,-41.0
Fiji,0.555441477334718,106,111.0,-5.0
Nauru,0.5542018189667589,107,124.0,-17.0
Marshall Islands,0.5516790264636507,108,108.0,0.0
Equatorial Guinea,0.5490929425962486,109,133.0,-24.0
Solomon Islands,0.5471321283350431,110,156.0,-46.0
Botswana,0.5453625858247323,111,111.0,0.0
Tajikistan,0.5442315894897649,112,128.0,-16.0
Tuvalu,0.5429739703710738,113,129.0,-16.0
Morocco,0.541819899892814,114,120.0,-6.0
Sao Tome and Principe,0.5368986389327761,115,141.0,-26.0
Kiribati,0.5368600329122281,116,140.0,-24.0
Namibia,0.5362405662642253,117,136.0,-19.0
Bhutan,0.5321339546398111,118,125.0,-7.0
Cambodia,0.530154084903916,119,151.0,-32.0
India,0.5278987296967832,120,130.0,-10.0
Myanmar,0.5239765288899204,121,150.0,-29.0
Djibouti,0.5219333545981364,122,175.0,-53.0
Papua New Guinea,0.5211859393422036,123,160.0,-37.0
Kenya,0.513657618500567,124,143.0,-19.0
Comoros,0.5108994102235925,125,152.0,-27.0
Ghana,0.5108830224823955,126,143.0,-17.0
Sudan,0.5088149425479749,127,176.0,-49.0
Mauritania,0.5084420887903027,128,163.0,-35.0
Nepal,0.5082387254864033,129,145.0,-16.0
Liberia,0.5046796751525592,131,177.0,-46.0
Haiti,0.5016503987366313,132,166.0,-34.0
Madagascar,0.5013511426331729,133,183.0,-50.0
Cameroon,0.5010225482413228,134,155.0,-21.0
Zimbabwe,0.49946488521711246,135,153.0,-18.0
Angola,0.4967802584716711,136,148.0,-12.0
Bangladesh,0.4955882592356177,137,130.0,7.0
Uganda,0.49379237918800944,138,157.0,-19.0
Zambia,0.4912897433091537,139,154.0,-15.0
Rwanda,0.48913201237225373,140,159.0,-19.0
Afghanistan,0.4874887660768377,141,181.0,-40.0
Lesotho,0.4837338450485066,142,167.0,-25.0
Togo,0.48334999862618094,143,161.0,-18.0
Malawi,0.4783997611167537,144,172.0,-28.0
Guinea-Bissau,0.4743305038664846,145,174.0,-29.0
Somalia,0.46960427049094267,146,192.0,-46.0
Pakistan,0.4694755061052662,147,168.0,-21.0
Burundi,0.46877845274597846,148,187.0,-39.0
Ethiopia,0.4680363940981842,149,180.0,-31.0
Mozambique,0.4656085719970059,150,182.0,-32.0
Nigeria,0.46461897958097514,151,164.0,-13.0
Senegal,0.4591379380601198,152,169.0,-17.0
Niger,0.4586214880924519,153,188.0,-35.0
Sierra Leone,0.45617317519120026,154,185.0,-31.0
Benin,0.45574420629834256,155,173.0,-18.0
Guinea,0.44854379609972383,156,179.0,-23.0
Mali,0.4256689593512644,157,188.0,-31.0
Central African Republic,0.42267116033019775,158,191.0,-33.0
Chad,0.4156167298709065,159,190.0,-31.0
Burkina Faso,0.40356013898398996,160,186.0,-26.0
